permno,comnam
10006,A C F INDUSTRIES INC
10057,ACME CLEVELAND CORP
10058,A B K C O INDUSTRIES INC
10103,A C S INDUSTRIES INC
10137,ALLEGHENY POWER SYSTEMS INC
10145,ALLIED CHEMICAL CORP
10146,APPLICATION ENGR CORP
10153,ALLIS CHALMERS CORP
10154,A E L INDUSTRIES INC
10161,AMAX INC
10162,A E S TECHNOLOGY SYSTEMS INC
10189,A F A PROTECTIVE SYSTEMS INC
10225,AMERICAN BRANDS INC
10233,AMERICAN BROADCASTING COS INC
10234,A G M INDUSTRIES INC
10241,AMERICAN CAN CO
10321,AMERICAN MOTORS CORP
10349,AMERICAN FID LIFE INS CO
10364,ASARCO INC
10372,AMERICAN STANDARD INC
10400,A P F ELECTRONICS INC
10401,AMERICAN TELEPHONE & TELEG CO
10445,A R I INDUSTRIES INC
10460,AMETEK INC
10479,AMSTAR CORP
10487,AMSTED INDUSTRIES INC
10488,AVM CORP
10516,ARCHER DANIELS MIDLAND CO
10525,AARONSON BROTHERS STORES CO
10559,ASSOCIATED DRY GOODS CORP
10576,ACADEMY INSURANCE GROUP INC
10592,ACAPULCO Y LOS ARCOS RESTAURANTE
10604,ATLANTIC RICHFIELD CO
10605,ACCELERATION CORP
10640,ACCURAY CORP
10656,ACETO CHEMICAL CO INC
10664,ACMAT CORP
10672,ACME GENERAL CORP
10698,BARBER OIL CORP
10727,BAYUK CIGARS INC
10731,DATAMETRICS CORP
10743,BELDING HEMINWAY INC
10751,BENDIX CORP
10752,ADAC LABORATORIES INC
10779,ADAGE INC
10786,BETHLEHEM STEEL CORP
10787,ADDISON WESLEY PUBG INC
10808,ADDMASTER CORP
10823,BROOKLYN UNION GAS CO
10866,BROWN GROUP INC
10874,BRUNSWICK CORP
10875,ADVANCE ROSS CORP
10890,BURROUGHS CORP
10891,ADVANCED CHEMICAL TECHNOLOGY
10912,ADVANCED COMPUTER TECHNIQUES
10970,C I T FINANCIAL CORP
10971,ADVENT CORP
10989,C P C INTERNATIONAL INC
10990,ADVERTISING UNLIMITED LTD
11010,AERO SYSTEMS INC
11017,CALLAHAN MINING CORP
11026,ADVENTURE LANDS OF AMERICA INC
11084,CENTURY FACTORS INC
11093,WYOMING NATIONAL CORP
11105,CERTAIN TEED CORP
11156,CHESSIE SYSTEM INC
11157,AEROSONIC CORP DEL
11164,CHICAGO PNEUMATIC TOOL CO
11165,AEROTRON INC
11173,AFFILIATED BANKSHARES COLO INC
11253,AID AUTO STORES INC
11260,CHRYSLER CORP
11280,AGRICULTURAL & INDL DEV INC
11295,CLUETT PEABODY & CO INC
11296,AIR CARGO EQUIP CORP
11308,COCA COLA CO
11317,AIR FLORIDA SYSTEMS INC
11332,COLT INDUSTRIES INC DE
11340,COLUMBIA GAS SYS INC
11376,AIR WISCONSIN INC
11404,CONSOLIDATED EDISON CO NY INC
11447,CONTINENTAL GROUP INC
11448,ALAMO SAVINGS ASSOCIATION TX
11471,CONOCO INC
11498,CONWOOD CORP
11501,ALASKA BANCORPORATION
11587,ALABAMA TENNESSEE NATURAL GAS CO
11607,DANA CORP
11616,ALBUQUERQUE WESTERN SOLAR INDS
11674,DETROIT EDISON CO
11690,DOME MINES LTD
11691,ALEXANDER & BALDWIN INC
11703,DU PONT E I DE NEMOURS & CO
11754,EASTMAN KODAK CO
11755,ALGERAN INC
11762,EATON CORP
11763,ALGOREX CORP
11790,ALICO INC
11798,ALL AMERICAN BURGER INC
11843,ALLEGHENY BEVERAGE CORP
11850,EXXON CORP
11851,ALLEN ORGAN CO
11870,ALLIED BANCSHARES INC
11878,ALLIED CAPITAL CORP
11886,ALLIED FARM EQUIP
11894,ALLIED FOODS INC
11931,ALLIED SECURITY INC
11950,ALLIED VAN LINES INC
11966,ALLOY METAL PRODS INC
11981,FREEPORT MINERALS CO
11982,ALLYN & BACON INC
12002,ALOE CREME LABS INC
12036,G A T X CORP
12037,ALPEX COMPUTER CORP
12044,CULBRO CORP
12045,ALPHA SOLARCO INC
12052,GENERAL DYNAMICS CORP
12053,ALPHANUMERIC INC
12060,GENERAL ELECTRIC CO
12061,ALPHATYPE CORP
12079,GENERAL MOTORS CORP
12087,GENERAL REFRACTORIES CO
12095,GENERAL SIGNAL CORP
12096,ALPINE INTERNATIONAL CORP
12140,GOODRICH B F CO
12141,ALTAIR CORP
12160,CARIBBEAN FIN INC
12176,ALTIUS CORP
12184,ALTON BOX BRD CO
12221,AMARCO RESOURCES CORP
12240,AMAREX INC
12256,AMBASSADOR GROUP INC
12264,AMBER RESOURCES CO
12319,HOMESTAKE MINING CO
12320,DAYTON MALLEABLE INC
12328,AMCOLE ENERGY CORP
12431,INGERSOLL RAND CO
12458,INLAND STEEL CO
12459,AMERICAN AGGREGATES CORP
12467,AMERICAN AGRI FUELS CORP
12475,AMERICAN APPRAISAL ASSOC INC
12490,INTERNATIONAL BUSINESS MACHS COR
12491,AMERICAN BANCORPORATION OH
12503,INTERNATIONAL HARVESTER CO
12511,INTERNATIONAL MINERALS & CHEM CO
12512,AMERICAN BANKERS INSURANCE CO FL
12547,AMERICAN BANKERS LIFE ASSURN
12570,INTERNATIONAL TEL & TELEG CORP
12598,AMERICAN CAPITOL INS CO
12626,JEWEL COMPANIES INC
12650,KANSAS CITY SOUTHERN INDS INC
12670,AMERICAN CITY BK LOS ANGELES
12678,AMERICAN CLIPPER CORP
12686,AMERICAN COMMONWEALTH FINL CORP
12706,KENNECOTT COPPER CORP
12723,AMERICAN CYTOLOGY SVCS CORP
12730,KRAFT INC
12749,K MART CORP
12781,LACLEDE GAS CO
12837,LIGGETT GROUP INC
12888,LONE STAR INDUSTRIES INC
12918,AMERICAN FILTRONA CORP
12926,AMERICAN FINANCIAL CORP OH
12933,M E I CORP
12969,AMERICAN FLETCHER CORP
12976,MACY R H & CO INC
13012,MANHATTAN INDUSTRIES INC
13040,AMERICAN FURNITURE INC
13047,MARATHON OIL CO
13056,AMERICAN GREETINGS CORP
13064,AMERICAN GUARANTY FINANCIAL CORP
13099,AMERICAN HELIOTHERMAL CORP
13100,MAY DEPARTMENT STORES CO
13101,AMERICAN HOME INDS CORP
13119,MAYTAG CO
13128,AMERICAN HOME SHIELD CORP
13143,METRO GOLDWYN MAYER INC
13144,AMERICAN INCOME LIFE INS CO
13152,AMERICAN INDEMNITY FINL CORP
13216,AMERICAN INVS LIFE INS CO
13283,AMERICAN LIST CORP
13290,MUNSINGWEAR INC
13303,N L INDUSTRIES INC
13304,AMERICAN MANAGEMENT SYSTEMS INC
13311,NABISCO INC
13354,NATIONAL DISTILLERS & CHEM CORP
13355,AMERICAN MEDICAL AFFILIATES INC
13363,AMERICAN MEDICAL SERVICES INC
13370,NATIONAL TEA CO
13398,AMERICAN MICROSYSTEMS INC
13435,AMERICAN MONITOR CORP
13486,AMERICAN NATIONAL ENTERPRISES IN
13494,AMERICAN NATIONAL HOLDING CO
13507,AMERICAN NATIONAL INS CO
13522,NORFOLK & WESTERN RAILWAY CO
13523,AMERICAN NUCLEAR CORP
13550,AMERICAN PACIFIC INTL INC
13557,NORTH AMERICAN PHILIPS CORP
13558,AMERICAN PACEMAKER CORP
13610,OLIN CORP
13638,AMERICAN QUASAR PETROLEUM CO
13646,AMERICAN RECREATION CTRS INC
13653,OUTLET CO
13661,OWENS ILLINOIS INC
13688,PACIFIC GAS & ELEC CO
13689,DIAMOND INSULATION INDUSTRY
