date,10y,BEST_EPS,CORR_COEF,DVD_PAYOUT_RATIO,DVD_SH_LAST,NET_AGGTE_DVD_YLD,NET_DEBT_TO_EBITDA,PE_RATIO,PX_TO_BOOK_RATIO,SHORT_AND_LONG_TERM_DEBT,acc_rate,bbb_credit,default_yield,erp,est_pe,global_bonds_total_r,indust_prod,inflation_total_r,libor3m,sentiment,spread,spx,spx_add,spx_add_bid,tail,ts
2004-03-19,3.771,63.9681,0.977094,37.4035,0.004168,1.61,4.6535,19.9807,3.103,841.4458,0.00010331506849315068,232.9,3.44,78.67,1109.78,298.3774,0.62,190.9748,1.11,38.6,0.22000000000002728,-0.011173283911896759,1109.78,1109.56,100.0,225.576
2004-03-22,3.7126,63.9851,0.977192,37.4035,0.015004,1.63,4.6535,19.7218,3.0628,841.4458,0.0003051452054794521,234.74,3.52,77.14,1095.4,299.2598,0.62,191.9312,1.11,38.6,0.4900000000000091,-0.01295752311268894,1095.4,1094.91,99.1,223.155
2004-03-23,3.6901,64.0646,0.977133,37.4035,0.0,1.63,4.6535,19.6957,3.0587,841.4458,0.0001010986301369863,236.99,3.57,76.92,1093.95,298.7925,0.62,191.7853,1.11,38.6,0.13000000000010914,-0.001323717363520216,1093.95,1093.82,98.92,222.618
2004-03-24,3.7069,64.0777,0.977131,37.4035,0.004144,1.64,4.6535,19.6485,3.0514,841.4458,0.00010155890410958904,235.31,3.55,76.92,1091.33,298.4857,0.62,191.48,1.11,38.6,0.2699999999999818,-0.00239499063028481,1091.33,1091.06,98.7,224.636
2004-03-25,3.7368,64.144,0.977195,37.3791,0.0,1.61,4.6614,19.9759,3.0975,843.2527,0.00010237808219178082,235.32,3.51,78.21,1109.19,298.1168,0.62,190.6442,1.11,31.48,0.5700000000001637,0.01636535236821146,1109.19,1108.62,99.82,226.068
2004-03-26,3.8292,64.1632,0.977192,37.3791,0.000321,1.61,4.6614,19.9556,3.0943,843.2527,0.00010490958904109588,233.08,3.43,79.1,1108.06,296.7608,0.62,189.9123,1.11,31.48,-0.01999999999998181,-0.0010187614385273047,1108.06,1108.08,99.6,225.2
2004-03-29,3.8882,64.1621,0.977407,36.8427,0.193755,1.59,4.5099,20.1909,3.1335,841.8995,0.00031957808219178083,230.18,3.34,80.65,1122.47,296.6543,0.62,189.8849,1.11,31.48,0.5699999999999363,0.013004710936231012,1122.47,1121.9,100.64,227.654
2004-03-30,3.8939,64.1996,0.977405,36.7595,0.024306,1.59,4.4981,20.2669,3.1473,840.0786,0.00010668219178082192,229.61,3.32,81.07,1127.0,297.0212,0.62,190.0169,1.11,31.48,0.4900000000000091,0.0040357426033656996,1127.0,1126.51,100.98,227.35
2004-03-31,3.8348,64.2281,0.977391,36.6916,0.100597,1.59,4.4925,20.2523,3.1466,839.097,0.00010506301369863014,231.52,3.38,80.5,1126.21,299.3105,-0.39,191.0763,1.11,31.48,0.6200000000001182,-0.0007009760425908951,1126.21,1125.59,100.95,226.22
2004-04-01,3.8786,64.5081,0.977318,36.6916,0.011027,1.58,4.4925,20.3651,3.1632,839.097,0.00010626301369863014,230.14,3.34,81.53,1132.17,299.8362,-0.39,191.7734,1.11,55.17,0.3200000000001637,0.0052920858454461595,1132.17,1131.85,101.43,225.393
2004-04-02,4.1435,64.4323,0.977391,36.6916,0.075253,1.57,4.4925,20.5385,3.1902,839.097,0.0001135205479452055,217.65,3.17,83.97,1141.81,295.629,-0.39,188.4041,1.11,55.17,0.5499999999999545,0.008514622362365998,1141.81,1141.26,102.13,229.242
2004-04-05,4.2064,64.403,0.977675,36.6895,0.001671,1.56,4.495,20.7055,3.2146,839.097,0.0003457315068493151,216.36,3.12,85.17,1150.57,293.3471,-0.39,186.9171,1.14,55.17,0.5399999999999636,0.007672029497026722,1150.57,1150.03,102.77,230.974
2004-04-06,4.1475,64.4041,0.977727,36.6895,0.355268,1.56,4.495,20.6622,3.2079,839.097,0.00011363013698630137,220.25,3.16,84.57,1148.16,293.6669,-0.39,187.5282,1.14,55.17,0.6000000000001364,-0.0020946139739431713,1148.16,1147.56,102.61,231.314
2004-04-07,4.1573,64.4276,0.977716,36.6895,0.059624,1.58,4.495,20.5249,3.1866,839.097,0.0001138986301369863,218.27,3.11,84.39,1140.53,295.509,-0.39,187.8674,1.14,55.17,-0.06999999999993634,-0.006645415273132782,1140.53,1140.6,102.0,231.542
2004-04-08,4.1909,64.491,0.97768,36.8008,0.0,1.58,4.4926,20.5049,3.1805,839.0922,0.00011481917808219179,216.91,3.08,84.4,1139.32,294.3384,-0.39,187.363,1.14,58.78,0.4299999999998363,-0.0010609102785547053,1139.32,1138.89,101.93,233.584
2004-04-12,4.2285,64.5439,0.977921,36.6301,0.022404,1.57,4.4926,20.6236,3.1969,839.1092,0.0004633972602739726,215.15,3.01,85.03,1145.2,294.1983,-0.39,187.3818,1.14,58.78,0.25,0.005160973212091413,1145.2,1144.95,102.36,235.046
2004-04-13,4.3519,64.5192,0.977969,36.6322,0.053099,1.59,4.4919,20.3421,3.1512,839.2263,0.00011923013698630135,210.81,2.95,84.81,1129.44,291.0781,-0.39,185.0836,1.14,58.78,0.2999999999999545,-0.013761788333915503,1129.44,1129.14,101.13,235.046
2004-04-14,4.364,64.5344,0.977966,36.5868,0.031972,1.59,4.4769,20.3267,3.1423,838.1771,0.00011956164383561643,211.6,3.03,85.26,1128.17,289.478,-0.39,183.8473,1.14188,58.78,0.4900000000000091,-0.0011244510553902742,1128.17,1127.68,100.98,228.923
2004-04-15,4.4003,64.5454,0.977957,36.545,0.0,1.59,4.4715,20.3362,3.1411,837.9154,0.00012055616438356163,210.97,2.98,85.15,1128.84,289.5617,-0.39,183.6942,1.15,63.75,0.30999999999994543,0.0005938821276934014,1128.84,1128.53,100.95,234.166
2004-04-16,4.3383,64.6072,0.977875,36.5519,0.0,1.58,4.469,20.4404,3.1593,836.8637,0.00011885753424657535,214.17,3.05,85.47,1134.61,291.3209,-0.39,185.4526,1.15,63.75,0.5899999999999181,0.005111441834095176,1134.61,1134.02,101.41,234.617
2004-04-19,4.3845,64.6635,0.978138,36.5519,0.003491,1.58,4.469,20.4622,3.1627,836.8637,0.0003603698630136986,212.55,3.0,85.63,1135.82,291.1225,-0.39,185.5949,1.14938,63.75,0.4399999999998272,0.0010664457390645588,1135.82,1135.38,101.5,234.462
2004-04-20,4.4573,64.6325,0.978135,36.5519,0.002091,1.61,4.469,20.1439,3.1135,836.8637,0.0001221178082191781,207.27,2.93,84.5,1118.15,289.748,-0.39,184.2115,1.15,63.75,0.18000000000006366,-0.015557042489126705,1118.15,1117.97,100.08,229.926
2004-04-21,4.423,64.7784,0.978001,36.5519,0.075952,1.6,4.469,20.2509,3.13,836.8637,0.00012117808219178082,211.7,3.02,85.06,1124.09,288.4455,-0.39,183.0032,1.16875,63.75,0.2999999999999545,0.005312346286276304,1124.09,1123.79,100.52,225.728
2004-04-22,4.3807,64.8004,0.978047,36.5519,0.05733,1.58,4.469,20.5363,3.1741,836.8637,0.00012001917808219178,211.93,3.0,85.65,1139.93,288.5437,-0.39,182.8067,1.17,50.0,0.2400000000000091,0.014091398375575048,1139.93,1139.69,101.76,226.75
