date,vol,naive_vol,l_shrinkage
2005-03-18,0.094063,0.096129,0.31
2005-03-21,0.093796,0.095455,0.27
2005-03-22,0.096337,0.097999,0.27
2005-03-23,0.115191,0.124503,0.46
2005-03-24,0.117283,0.126993,0.47
2005-03-28,0.120227,0.128558,0.46
2005-03-29,0.122062,0.127735,0.45
2005-03-30,0.117621,0.124989,0.48
2005-03-31,0.121372,0.131892,0.61
2005-04-01,0.126614,0.135888,0.61
2005-04-04,0.127050,0.136708,0.59
2005-04-05,0.125774,0.135966,0.59
2005-04-06,0.128947,0.135848,0.57
2005-04-07,0.128328,0.134508,0.55
2005-04-08,0.126774,0.132643,0.56
2005-04-11,0.127036,0.132271,0.4
2005-04-12,0.127727,0.134097,0.42
2005-04-13,0.126189,0.132609,0.43
2005-04-14,0.125040,0.132017,0.51
2005-04-15,0.115110,0.123907,0.57
2005-04-18,0.120185,0.127829,0.57
2005-04-19,0.120503,0.127322,0.58
2005-04-20,0.114105,0.122341,0.58
2005-04-21,0.099718,0.100450,0.22
2005-04-22,0.095729,0.096200,0.0
2005-04-25,0.092925,0.093154,0.15
2005-04-26,0.090034,0.090695,0.0
2005-04-27,0.089138,0.089603,0.0
2005-04-28,0.077982,0.078636,0.0
2005-04-29,0.072926,0.072825,0.15
2005-05-02,0.074247,0.075023,0.19
2005-05-03,0.077004,0.077631,0.18
2005-05-04,0.073408,0.075215,0.26
2005-05-05,0.073802,0.075284,0.26
2005-05-06,0.073076,0.074916,0.28
2005-05-09,0.071227,0.073589,0.3
2005-05-10,0.068054,0.070544,0.31
2005-05-11,0.067832,0.070658,0.33
2005-05-12,0.063739,0.065426,0.33
2005-05-13,0.054792,0.056448,0.32
2005-05-16,0.051171,0.054265,0.34
2005-05-17,0.049739,0.055163,0.59
2005-05-18,0.046601,0.053033,0.56
2005-05-19,0.048839,0.053693,0.47
2005-05-20,0.047949,0.052623,0.47
2005-05-23,0.048030,0.054143,0.53
2005-05-24,0.047755,0.053951,0.55
2005-05-25,0.051409,0.058678,0.65
2005-05-26,0.056196,0.061510,0.53
2005-05-27,0.054697,0.059467,0.54
2005-05-31,0.062180,0.066283,0.52
2005-06-01,0.058731,0.063669,0.51
2005-06-02,0.059350,0.063784,0.51
2005-06-03,0.057699,0.061386,0.51
2005-06-06,0.058609,0.062073,0.45
2005-06-07,0.066511,0.069438,0.44
2005-06-08,0.065943,0.068489,0.44
2005-06-09,0.072714,0.075014,0.46
2005-06-10,0.075391,0.075621,0.16
2005-06-13,0.074482,0.074729,0.19
2005-06-14,0.073456,0.073480,0.11
2005-06-15,0.072896,0.072948,0.15
2005-06-16,0.071708,0.071790,0.15
2005-06-17,0.073477,0.073621,0.15
2005-06-20,0.075090,0.075159,0.05
2005-06-21,0.074796,0.074891,0.15
2005-06-22,0.076031,0.076125,0.15
2005-06-23,0.074594,0.074963,0.18
2005-06-24,0.069581,0.070229,0.25
2005-06-27,0.069104,0.069691,0.24
2005-06-28,0.062834,0.063465,0.27
2005-06-29,0.065877,0.066948,0.27
2005-06-30,0.069878,0.071357,0.31
2005-07-01,0.070446,0.071544,0.3
2005-07-05,0.072286,0.073031,0.33
2005-07-06,0.064423,0.065798,0.32
2005-07-07,0.066359,0.067240,0.27
2005-07-08,0.063890,0.064252,0.21
2005-07-11,0.063523,0.063858,0.2
2005-07-12,0.067920,0.068392,0.22
2005-07-13,0.068043,0.068405,0.22
2005-07-14,0.072327,0.072678,0.19
2005-07-15,0.072978,0.073180,0.15
2005-07-18,0.071142,0.071204,0.13
2005-07-19,0.076721,0.077002,0.0
2005-07-20,0.076431,0.076941,0.0
2005-07-21,0.074861,0.075434,0.0
2005-07-22,0.073059,0.073625,0.0
2005-07-25,0.073191,0.074451,0.0
2005-07-26,0.073210,0.074722,0.0
2005-07-27,0.073737,0.075590,0.0
2005-07-28,0.068342,0.069656,0.0
2005-07-29,0.064185,0.066741,0.0
2005-08-01,0.067182,0.069254,0.0
2005-08-02,0.065260,0.067181,0.0
2005-08-03,0.064530,0.067469,0.0
2005-08-04,0.064751,0.067465,0.0
2005-08-05,0.063563,0.065062,0.0
2005-08-08,0.068389,0.069842,0.0
2005-08-09,0.067089,0.069052,0.0
2005-08-10,0.067918,0.070336,0.0
2005-08-11,0.068060,0.071083,0.0
