date,cgp_ucb
1990-02-08,[[0.01915276]]
1990-02-09,[[0.02283795]]
1990-02-12,[[0.0191793]]
1990-02-13,[[0.02574269]]
1990-02-14,[[0.01763849]]
1990-02-15,[[0.01963801]]
1990-02-16,[[0.01072883]]
1990-02-20,[[0.01432168]]
1990-02-21,[[0.00756062]]
1990-02-22,[[0.019256]]
1990-02-23,[[0.01708792]]
1990-02-26,[[0.01673955]]
1990-02-27,[[0.02548966]]
1990-02-28,[[0.03548162]]
1990-03-01,[[0.01338922]]
1990-03-02,[[0.00487592]]
1990-03-05,[[0.00295852]]
1990-03-06,[[0.00233609]]
1990-03-07,[[0.02202172]]
1990-03-08,[[0.02728957]]
1990-03-09,[[0.00796078]]
1990-03-12,[[0.]]
1990-03-13,[[0.]]
1990-03-14,[[0.]]
1990-03-15,[[0.]]
1990-03-16,[[0.]]
1990-03-19,[[0.00825133]]
1990-03-20,[[0.01322502]]
1990-03-21,[[0.00571458]]
1990-03-22,[[0.01787258]]
1990-03-23,[[0.03432793]]
1990-03-26,[[0.04255294]]
1990-03-27,[[0.04165429]]
1990-03-28,[[0.03743478]]
1990-03-29,[[0.036035]]
1990-03-30,[[0.04976023]]
1990-04-02,[[0.06375332]]
1990-04-03,[[0.04772235]]
1990-04-04,[[0.06200646]]
1990-04-05,[[0.0652457]]
1990-04-06,[[0.06416098]]
1990-04-09,[[0.05920683]]
1990-04-10,[[0.06197588]]
1990-04-11,[[0.06365056]]
1990-04-12,[[0.06509685]]
1990-04-16,[[0.06378383]]
1990-04-17,[[0.0629562]]
1990-04-18,[[0.0591673]]
1990-04-19,[[0.08659242]]
1990-04-20,[[0.08466615]]
1990-04-23,[[0.08028828]]
1990-04-24,[[0.06706564]]
1990-04-25,[[0.04025501]]
1990-04-26,[[0.04145791]]
1990-04-27,[[0.03954113]]
1990-04-30,[[0.02213284]]
1990-05-01,[[0.]]
1990-05-02,[[0.02076023]]
1990-05-03,[[0.02525803]]
1990-05-04,[[0.02360392]]
1990-05-07,[[0.02964629]]
1990-05-08,[[0.02959249]]
1990-05-09,[[0.04152824]]
1990-05-10,[[0.03873935]]
1990-05-11,[[0.04022001]]
1990-05-14,[[0.00731513]]
1990-05-15,[[0.]]
1990-05-16,[[0.]]
1990-05-17,[[0.]]
1990-05-18,[[0.]]
1990-05-21,[[0.]]
1990-05-22,[[0.]]
1990-05-23,[[0.]]
1990-05-24,[[0.]]
1990-05-25,[[0.]]
1990-05-29,[[0.]]
1990-05-30,[[0.00800634]]
1990-05-31,[[0.01308766]]
1990-06-01,[[0.0358527]]
1990-06-04,[[0.00380094]]
1990-06-05,[[0.]]
1990-06-06,[[0.]]
1990-06-07,[[0.]]
1990-06-08,[[0.]]
1990-06-11,[[0.]]
1990-06-12,[[0.]]
1990-06-13,[[0.]]
1990-06-14,[[0.]]
1990-06-15,[[0.]]
1990-06-18,[[0.]]
1990-06-19,[[0.]]
1990-06-20,[[0.]]
1990-06-21,[[0.]]
1990-06-22,[[0.]]
1990-06-25,[[0.]]
1990-06-26,[[0.]]
1990-06-27,[[0.]]
1990-06-28,[[0.]]
1990-06-29,[[0.]]
1990-07-02,[[0.]]
