Date: 2005-03-18 00:00:00, Volatility: 0.094063, Naive Volatility: 0.096129, Shrinkage: 0.31
Date: 2005-03-21 00:00:00, Volatility: 0.093796, Naive Volatility: 0.095455, Shrinkage: 0.27
Date: 2005-03-22 00:00:00, Volatility: 0.096337, Naive Volatility: 0.097999, Shrinkage: 0.27
Date: 2005-03-23 00:00:00, Volatility: 0.115191, Naive Volatility: 0.124503, Shrinkage: 0.46
Date: 2005-03-24 00:00:00, Volatility: 0.117283, Naive Volatility: 0.126993, Shrinkage: 0.47
Date: 2005-03-28 00:00:00, Volatility: 0.120227, Naive Volatility: 0.128558, Shrinkage: 0.46
Date: 2005-03-29 00:00:00, Volatility: 0.122062, Naive Volatility: 0.127735, Shrinkage: 0.45
Date: 2005-03-30 00:00:00, Volatility: 0.117621, Naive Volatility: 0.124989, Shrinkage: 0.48
Date: 2005-03-31 00:00:00, Volatility: 0.121372, Naive Volatility: 0.131892, Shrinkage: 0.61
Date: 2005-04-01 00:00:00, Volatility: 0.126614, Naive Volatility: 0.135888, Shrinkage: 0.61
Date: 2005-04-04 00:00:00, Volatility: 0.127050, Naive Volatility: 0.136708, Shrinkage: 0.59
Date: 2005-04-05 00:00:00, Volatility: 0.125774, Naive Volatility: 0.135966, Shrinkage: 0.59
Date: 2005-04-06 00:00:00, Volatility: 0.128947, Naive Volatility: 0.135848, Shrinkage: 0.57
Date: 2005-04-07 00:00:00, Volatility: 0.128328, Naive Volatility: 0.134508, Shrinkage: 0.55
Date: 2005-04-08 00:00:00, Volatility: 0.126774, Naive Volatility: 0.132643, Shrinkage: 0.56
Date: 2005-04-11 00:00:00, Volatility: 0.127036, Naive Volatility: 0.132271, Shrinkage: 0.40
Date: 2005-04-12 00:00:00, Volatility: 0.127727, Naive Volatility: 0.134097, Shrinkage: 0.42
Date: 2005-04-13 00:00:00, Volatility: 0.126189, Naive Volatility: 0.132609, Shrinkage: 0.43
Date: 2005-04-14 00:00:00, Volatility: 0.125040, Naive Volatility: 0.132017, Shrinkage: 0.51
Date: 2005-04-15 00:00:00, Volatility: 0.115110, Naive Volatility: 0.123907, Shrinkage: 0.57
Date: 2005-04-18 00:00:00, Volatility: 0.120185, Naive Volatility: 0.127829, Shrinkage: 0.57
Date: 2005-04-19 00:00:00, Volatility: 0.120503, Naive Volatility: 0.127322, Shrinkage: 0.58
Date: 2005-04-20 00:00:00, Volatility: 0.114105, Naive Volatility: 0.122341, Shrinkage: 0.58
Date: 2005-04-21 00:00:00, Volatility: 0.099718, Naive Volatility: 0.100450, Shrinkage: 0.22
Date: 2005-04-22 00:00:00, Volatility: 0.095729, Naive Volatility: 0.096200, Shrinkage: 0.00
Date: 2005-04-25 00:00:00, Volatility: 0.092925, Naive Volatility: 0.093154, Shrinkage: 0.15
Date: 2005-04-26 00:00:00, Volatility: 0.090034, Naive Volatility: 0.090695, Shrinkage: 0.00
Date: 2005-04-27 00:00:00, Volatility: 0.089138, Naive Volatility: 0.089603, Shrinkage: 0.00
Date: 2005-04-28 00:00:00, Volatility: 0.077982, Naive Volatility: 0.078636, Shrinkage: 0.00
Date: 2005-04-29 00:00:00, Volatility: 0.072926, Naive Volatility: 0.072825, Shrinkage: 0.15
Date: 2005-05-02 00:00:00, Volatility: 0.074247, Naive Volatility: 0.075023, Shrinkage: 0.19
Date: 2005-05-03 00:00:00, Volatility: 0.077004, Naive Volatility: 0.077631, Shrinkage: 0.18
Date: 2005-05-04 00:00:00, Volatility: 0.073408, Naive Volatility: 0.075215, Shrinkage: 0.26
Date: 2005-05-05 00:00:00, Volatility: 0.073802, Naive Volatility: 0.075284, Shrinkage: 0.26
Date: 2005-05-06 00:00:00, Volatility: 0.073076, Naive Volatility: 0.074916, Shrinkage: 0.28
Date: 2005-05-09 00:00:00, Volatility: 0.071227, Naive Volatility: 0.073589, Shrinkage: 0.30
Date: 2005-05-10 00:00:00, Volatility: 0.068054, Naive Volatility: 0.070544, Shrinkage: 0.31
Date: 2005-05-11 00:00:00, Volatility: 0.067832, Naive Volatility: 0.070658, Shrinkage: 0.33
