date,irl_gail
2000-01-03,[[0.3922087]]
2000-01-04,[[0.42656666]]
2000-01-05,[[0.4268339]]
2000-01-06,[[0.43258455]]
2000-01-07,[[0.45367098]]
2000-01-10,[[0.7132338]]
2000-01-11,[[0.6400198]]
2000-01-12,[[0.68932235]]
2000-01-13,[[0.5756247]]
2000-01-14,[[0.6258159]]
2000-01-18,[[0.3706571]]
2000-01-19,[[0.5885393]]
2000-01-20,[[0.35129678]]
2000-01-21,[[0.57228553]]
2000-01-24,[[0.20391339]]
2000-01-25,[[0.37420148]]
2000-01-26,[[0.20618731]]
2000-01-27,[[0.20837072]]
2000-01-28,[[0.41385844]]
2000-01-31,[[0.20669919]]
2000-02-01,[[0.19671097]]
2000-02-02,[[0.58935845]]
2000-02-03,[[0.39620996]]
2000-02-04,[[0.35699308]]
2000-02-07,[[0.56212014]]
2000-02-08,[[0.5594755]]
2000-02-09,[[0.59733224]]
2000-02-10,[[0.5080285]]
2000-02-11,[[0.6084107]]
2000-02-14,[[0.4193732]]
2000-02-15,[[0.67687345]]
2000-02-16,[[0.4886917]]
2000-02-17,[[0.26449287]]
2000-02-18,[[0.26636264]]
2000-02-22,[[0.26486224]]
2000-02-23,[[0.4761468]]
2000-02-24,[[0.45013747]]
2000-02-25,[[0.2643301]]
2000-02-28,[[0.26776186]]
2000-02-29,[[0.5114827]]
2000-03-01,[[0.23657393]]
2000-03-02,[[0.7155723]]
2000-03-03,[[0.66273713]]
2000-03-06,[[0.46543965]]
2000-03-07,[[0.65283847]]
2000-03-08,[[0.65630203]]
2000-03-09,[[0.46338266]]
2000-03-10,[[0.55671126]]
2000-03-13,[[0.66889715]]
2000-03-14,[[0.21171781]]
2000-03-15,[[0.20168373]]
2000-03-16,[[0.19051513]]
2000-03-17,[[0.522098]]
2000-03-20,[[0.5594889]]
2000-03-21,[[0.5508462]]
2000-03-22,[[0.34443966]]
2000-03-23,[[0.33334604]]
2000-03-24,[[0.46907339]]
2000-03-27,[[0.16327128]]
2000-03-28,[[0.34401447]]
2000-03-29,[[0.3253693]]
2000-03-30,[[0.34407312]]
2000-03-31,[[0.16024894]]
2000-04-03,[[0.36346617]]
2000-04-04,[[0.46410415]]
2000-04-05,[[0.5397972]]
2000-04-06,[[0.33771718]]
2000-04-07,[[0.3242526]]
2000-04-10,[[0.16027859]]
2000-04-11,[[0.32044655]]
2000-04-12,[[0.30315113]]
2000-04-13,[[0.15380195]]
2000-04-14,[[0.4356129]]
2000-04-17,[[0.39202246]]
2000-04-18,[[0.28252548]]
2000-04-19,[[0.22501665]]
2000-04-20,[[0.2260842]]
2000-04-24,[[0.23020476]]
2000-04-25,[[0.10969353]]
2000-04-26,[[0.18759143]]
2000-04-27,[[0.3269161]]
2000-04-28,[[0.31561273]]
2000-05-01,[[0.17025128]]
2000-05-02,[[0.09824282]]
2000-05-03,[[0.1969285]]
2000-05-04,[[0.24292946]]
2000-05-05,[[0.41865385]]
2000-05-08,[[0.26076737]]
2000-05-09,[[0.37031877]]
2000-05-10,[[0.39661944]]
2000-05-11,[[0.28792587]]
2000-05-12,[[0.13047895]]
2000-05-15,[[0.13060784]]
2000-05-16,[[0.14362583]]
2000-05-17,[[0.69762385]]
2000-05-18,[[0.72041667]]
2000-05-19,[[0.7673944]]
2000-05-22,[[0.8077058]]
2000-05-23,[[0.6960819]]
2000-05-24,[[0.80577755]]
2000-05-25,[[0.5128837]]
2000-05-26,[[0.8076391]]
2000-05-30,[[0.71713626]]
2000-05-31,[[0.8388611]]
2000-06-01,[[0.8345932]]
2000-06-02,[[0.82968456]]
2000-06-05,[[0.83659405]]
2000-06-06,[[0.8368826]]
2000-06-07,[[0.83974063]]
2000-06-08,[[0.8417341]]
2000-06-09,[[0.7551477]]
2000-06-12,[[0.82487804]]
2000-06-13,[[0.8548778]]
2000-06-14,[[0.8282688]]
2000-06-15,[[0.8286492]]
2000-06-16,[[0.76512104]]
2000-06-19,[[0.7977772]]
2000-06-20,[[0.8137398]]
2000-06-21,[[0.8187518]]
2000-06-22,[[0.7000156]]
2000-06-23,[[0.754688]]
2000-06-26,[[0.93005216]]
2000-06-27,[[0.8385351]]
2000-06-28,[[0.71538997]]
2000-06-29,[[0.72851294]]
2000-06-30,[[0.80267656]]
2000-07-03,[[0.71652573]]
2000-07-05,[[0.89854026]]
2000-07-06,[[0.7986082]]
2000-07-07,[[0.72409827]]
2000-07-10,[[0.71686894]]
2000-07-11,[[0.88735366]]
2000-07-12,[[0.8856094]]
2000-07-13,[[0.7877209]]
2000-07-14,[[0.8339849]]
2000-07-17,[[0.8490186]]
2000-07-18,[[0.7030043]]
2000-07-19,[[0.86795485]]
2000-07-20,[[0.8467763]]
2000-07-21,[[0.70703685]]
2000-07-24,[[0.8481953]]
2000-07-25,[[0.853875]]
2000-07-26,[[0.83294505]]
2000-07-27,[[0.8818646]]
2000-07-28,[[0.836643]]
2000-07-31,[[0.9222323]]
2000-08-01,[[0.91779983]]
2000-08-02,[[0.68340385]]
2000-08-03,[[0.6832752]]
2000-08-04,[[0.6677068]]
2000-08-07,[[0.7760868]]
2000-08-08,[[0.91812706]]
2000-08-09,[[0.8429127]]
