date,irl
2000-01-03,[[0.275839]]
2000-01-04,[[0.2775755]]
2000-01-05,[[0.2574773]]
2000-01-06,[[0.2739584]]
2000-01-07,[[0.30425665]]
2000-01-10,[[0.29871154]]
2000-01-11,[[0.2923164]]
2000-01-12,[[0.29308078]]
2000-01-13,[[0.29839855]]
2000-01-14,[[0.3014009]]
2000-01-18,[[0.30243766]]
2000-01-19,[[0.28713766]]
2000-01-20,[[0.29174766]]
2000-01-21,[[0.29052585]]
2000-01-24,[[0.29074472]]
2000-01-25,[[0.273471]]
2000-01-26,[[0.27892712]]
2000-01-27,[[0.28693312]]
2000-01-28,[[0.2915972]]
2000-01-31,[[0.27649197]]
2000-02-01,[[0.2601902]]
2000-02-02,[[0.26505315]]
2000-02-03,[[0.26762402]]
2000-02-04,[[0.27054957]]
2000-02-07,[[0.2666925]]
2000-02-08,[[0.27968013]]
2000-02-09,[[0.29366374]]
2000-02-10,[[0.27982318]]
2000-02-11,[[0.2816015]]
2000-02-14,[[0.28031856]]
2000-02-15,[[0.2752309]]
2000-02-16,[[0.27397317]]
2000-02-17,[[0.27668136]]
2000-02-18,[[0.27955365]]
2000-02-22,[[0.2660729]]
2000-02-23,[[0.26290116]]
2000-02-24,[[0.272444]]
2000-02-25,[[0.27632585]]
2000-02-28,[[0.277656]]
2000-02-29,[[0.25718784]]
2000-03-01,[[0.26909763]]
2000-03-02,[[0.32013333]]
2000-03-03,[[0.3177209]]
2000-03-06,[[0.31032372]]
2000-03-07,[[0.30262318]]
2000-03-08,[[0.2860512]]
2000-03-09,[[0.28163445]]
2000-03-10,[[0.2755016]]
2000-03-13,[[0.29562086]]
2000-03-14,[[0.29824585]]
2000-03-15,[[0.2976841]]
2000-03-16,[[0.3052249]]
2000-03-17,[[0.27799022]]
2000-03-20,[[0.27706334]]
2000-03-21,[[0.28437948]]
2000-03-22,[[0.2790023]]
2000-03-23,[[0.27401888]]
2000-03-24,[[0.2640956]]
2000-03-27,[[0.24913669]]
2000-03-28,[[0.24433056]]
2000-03-29,[[0.23344973]]
2000-03-30,[[0.23084742]]
2000-03-31,[[0.22156987]]
2000-04-03,[[0.23042867]]
2000-04-04,[[0.2240758]]
2000-04-05,[[0.2304199]]
2000-04-06,[[0.23189732]]
2000-04-07,[[0.23677328]]
2000-04-10,[[0.2401065]]
2000-04-11,[[0.24458098]]
2000-04-12,[[0.24589813]]
2000-04-13,[[0.23532936]]
2000-04-14,[[0.23254538]]
2000-04-17,[[0.19185486]]
2000-04-18,[[0.2232514]]
2000-04-19,[[0.21654043]]
2000-04-20,[[0.23091558]]
2000-04-24,[[0.239075]]
2000-04-25,[[0.24240476]]
2000-04-26,[[0.23720789]]
2000-04-27,[[0.2401394]]
2000-04-28,[[0.24786606]]
2000-05-01,[[0.24710214]]
2000-05-02,[[0.2592944]]
2000-05-03,[[0.25450182]]
2000-05-04,[[0.25118303]]
2000-05-05,[[0.25035757]]
2000-05-08,[[0.2481111]]
2000-05-09,[[0.2409859]]
2000-05-10,[[0.2441886]]
2000-05-11,[[0.24897435]]
2000-05-12,[[0.25054967]]
2000-05-15,[[0.25291187]]
2000-05-16,[[0.2942174]]
2000-05-17,[[0.29120907]]
2000-05-18,[[0.27869084]]
2000-05-19,[[0.28279102]]
2000-05-22,[[0.2885471]]
2000-05-23,[[0.27792597]]
2000-05-24,[[0.28060466]]
2000-05-25,[[0.28268218]]
2000-05-26,[[0.27435732]]
2000-05-30,[[0.2860549]]
2000-05-31,[[0.27763614]]
2000-06-01,[[0.2826023]]
2000-06-02,[[0.28577593]]
2000-06-05,[[0.2990599]]
2000-06-06,[[0.29881686]]
2000-06-07,[[0.29949516]]
2000-06-08,[[0.29729137]]
2000-06-09,[[0.2912708]]
2000-06-12,[[0.28765368]]
2000-06-13,[[0.2830889]]
2000-06-14,[[0.26805222]]
