date,irl
2000-01-03,[[0.24689865]]
2000-01-04,[[0.21448272]]
2000-01-05,[[0.38547456]]
2000-01-06,[[0.28550544]]
2000-01-07,[[0.2319423]]
2000-01-10,[[0.2597339]]
2000-01-11,[[0.3419353]]
2000-01-12,[[0.2203289]]
2000-01-13,[[0.22407791]]
2000-01-14,[[0.17640924]]
2000-01-18,[[0.23727402]]
2000-01-19,[[0.30289453]]
2000-01-20,[[0.2952321]]
2000-01-21,[[0.3414811]]
2000-01-24,[[0.3428827]]
2000-01-25,[[0.44860002]]
2000-01-26,[[0.46023378]]
2000-01-27,[[0.47215164]]
2000-01-28,[[0.47055554]]
2000-01-31,[[0.82761717]]
2000-02-01,[[0.80502605]]
2000-02-02,[[0.8044877]]
2000-02-03,[[0.8045689]]
2000-02-04,[[0.80495006]]
2000-02-07,[[0.80845857]]
2000-02-08,[[0.815706]]
2000-02-09,[[0.813751]]
2000-02-10,[[0.8046293]]
2000-02-11,[[0.8121707]]
2000-02-14,[[0.81823224]]
2000-02-15,[[0.8215349]]
2000-02-16,[[0.8213774]]
2000-02-17,[[0.81403434]]
2000-02-18,[[0.8101158]]
2000-02-22,[[0.8027233]]
2000-02-23,[[0.8027706]]
2000-02-24,[[0.788933]]
2000-02-25,[[0.782302]]
2000-02-28,[[0.7744405]]
2000-02-29,[[0.7825521]]
2000-03-01,[[0.81062907]]
2000-03-02,[[0.14191356]]
2000-03-03,[[0.1582692]]
2000-03-06,[[0.80731845]]
2000-03-07,[[0.79702723]]
2000-03-08,[[0.7666804]]
2000-03-09,[[0.7679796]]
2000-03-10,[[0.7754854]]
2000-03-13,[[0.68095607]]
2000-03-14,[[0.07030952]]
2000-03-15,[[0.06504172]]
2000-03-16,[[0.06278542]]
2000-03-17,[[0.06049597]]
2000-03-20,[[0.10051575]]
2000-03-21,[[0.24406427]]
2000-03-22,[[0.24525547]]
2000-03-23,[[0.23332635]]
2000-03-24,[[0.21577391]]
2000-03-27,[[0.22945857]]
2000-03-28,[[0.15778154]]
2000-03-29,[[0.17954403]]
2000-03-30,[[0.15244582]]
2000-03-31,[[0.15665752]]
2000-04-03,[[0.15401211]]
2000-04-04,[[0.09315285]]
2000-04-05,[[0.071531]]
2000-04-06,[[0.07750696]]
2000-04-07,[[0.08858612]]
2000-04-10,[[0.08699802]]
2000-04-11,[[0.09977871]]
2000-04-12,[[0.08469027]]
2000-04-13,[[0.09148788]]
2000-04-14,[[0.08644003]]
2000-04-17,[[0.16339436]]
2000-04-18,[[0.1872007]]
2000-04-19,[[0.23461774]]
2000-04-20,[[0.06001213]]
2000-04-24,[[0.08681002]]
2000-04-25,[[0.15331322]]
2000-04-26,[[0.2181752]]
2000-04-27,[[0.23437235]]
2000-04-28,[[0.22060183]]
2000-05-01,[[0.21558675]]
2000-05-02,[[0.19754055]]
2000-05-03,[[0.25179666]]
2000-05-04,[[0.27016675]]
2000-05-05,[[0.2742287]]
2000-05-08,[[0.29275218]]
2000-05-09,[[0.25221205]]
2000-05-10,[[0.2536016]]
2000-05-11,[[0.23660803]]
2000-05-12,[[0.21013644]]
2000-05-15,[[0.18786103]]
2000-05-16,[[0.235818]]
2000-05-17,[[0.21348143]]
2000-05-18,[[0.19994617]]
2000-05-19,[[0.1897338]]
2000-05-22,[[0.21516192]]
2000-05-23,[[0.20279875]]
2000-05-24,[[0.20898709]]
2000-05-25,[[0.18329799]]
2000-05-26,[[0.19499308]]
2000-05-30,[[0.20549104]]
