date,irl
2000-01-03,[[0.25515068]]
2000-01-04,[[0.26475966]]
2000-01-05,[[0.27278122]]
2000-01-06,[[0.2817806]]
2000-01-07,[[0.3186732]]
2000-01-10,[[0.67169404]]
2000-01-11,[[0.5935489]]
2000-01-12,[[0.6816775]]
2000-01-13,[[0.51805425]]
2000-01-14,[[0.5960087]]
2000-01-18,[[0.3187547]]
2000-01-19,[[0.55083895]]
2000-01-20,[[0.29136398]]
2000-01-21,[[0.51464254]]
2000-01-24,[[0.14232644]]
2000-01-25,[[0.32312822]]
2000-01-26,[[0.14146566]]
2000-01-27,[[0.13944358]]
2000-01-28,[[0.3456201]]
2000-01-31,[[0.14172274]]
2000-02-01,[[0.13816795]]
2000-02-02,[[0.5473537]]
2000-02-03,[[0.34396434]]
2000-02-04,[[0.3068087]]
2000-02-07,[[0.51693714]]
2000-02-08,[[0.48074418]]
2000-02-09,[[0.4844598]]
2000-02-10,[[0.38455477]]
2000-02-11,[[0.49063778]]
2000-02-14,[[0.27056554]]
2000-02-15,[[0.50465477]]
2000-02-16,[[0.29939198]]
2000-02-17,[[0.11602831]]
2000-02-18,[[0.11427337]]
2000-02-22,[[0.11435309]]
2000-02-23,[[0.27553576]]
2000-02-24,[[0.24896327]]
2000-02-25,[[0.11100358]]
2000-02-28,[[0.10620165]]
2000-02-29,[[0.28662586]]
2000-03-01,[[0.09665495]]
2000-03-02,[[0.5706471]]
2000-03-03,[[0.4572762]]
2000-03-06,[[0.24969736]]
2000-03-07,[[0.4339894]]
2000-03-08,[[0.43974027]]
2000-03-09,[[0.23759437]]
2000-03-10,[[0.3200476]]
2000-03-13,[[0.44365546]]
2000-03-14,[[0.08158913]]
2000-03-15,[[0.08728051]]
2000-03-16,[[0.08549351]]
2000-03-17,[[0.36087793]]
2000-03-20,[[0.392646]]
2000-03-21,[[0.4058137]]
2000-03-22,[[0.22834778]]
2000-03-23,[[0.22538173]]
2000-03-24,[[0.34094185]]
2000-03-27,[[0.09264359]]
2000-03-28,[[0.2325128]]
2000-03-29,[[0.218817]]
2000-03-30,[[0.24585596]]
2000-03-31,[[0.10002667]]
2000-04-03,[[0.24123037]]
2000-04-04,[[0.3471104]]
2000-04-05,[[0.40555716]]
2000-04-06,[[0.22920653]]
2000-04-07,[[0.22237352]]
2000-04-10,[[0.09353569]]
2000-04-11,[[0.23068097]]
2000-04-12,[[0.21651661]]
2000-04-13,[[0.09265107]]
2000-04-14,[[0.33420518]]
2000-04-17,[[0.34855908]]
2000-04-18,[[0.2068969]]
2000-04-19,[[0.19308007]]
2000-04-20,[[0.18881175]]
2000-04-24,[[0.1898205]]
2000-04-25,[[0.07291624]]
2000-04-26,[[0.17824858]]
2000-04-27,[[0.3807171]]
2000-04-28,[[0.35522485]]
2000-05-01,[[0.15522504]]
2000-05-02,[[0.07260367]]
2000-05-03,[[0.18072176]]
2000-05-04,[[0.21673259]]
2000-05-05,[[0.45168942]]
2000-05-08,[[0.2343925]]
2000-05-09,[[0.37278074]]
2000-05-10,[[0.3881111]]
2000-05-11,[[0.23675892]]
2000-05-12,[[0.08425429]]
2000-05-15,[[0.08493298]]
2000-05-16,[[0.08020839]]
2000-05-17,[[0.73880124]]
2000-05-18,[[0.76016223]]
2000-05-19,[[0.8178631]]
2000-05-22,[[0.8449333]]
2000-05-23,[[0.66590035]]
2000-05-24,[[0.8493533]]
2000-05-25,[[0.40594214]]
2000-05-26,[[0.8526604]]
2000-05-30,[[0.6520331]]
2000-05-31,[[0.8971851]]
2000-06-01,[[0.885933]]
2000-06-02,[[0.8897451]]
2000-06-05,[[0.90588796]]
2000-06-06,[[0.9072956]]
2000-06-07,[[0.90292686]]
2000-06-08,[[0.90064967]]
2000-06-09,[[0.7560991]]
2000-06-12,[[0.8648788]]
2000-06-13,[[0.8996468]]
2000-06-14,[[0.86290467]]
2000-06-15,[[0.8579991]]
2000-06-16,[[0.74120814]]
2000-06-19,[[0.7861253]]
2000-06-20,[[0.8257837]]
2000-06-21,[[0.82345617]]
2000-06-22,[[0.6201223]]
2000-06-23,[[0.7036506]]
2000-06-26,[[0.9559223]]
2000-06-27,[[0.83804166]]
2000-06-28,[[0.63425434]]
2000-06-29,[[0.65052116]]
2000-06-30,[[0.7559035]]
2000-07-03,[[0.62051696]]
2000-07-05,[[0.83919704]]
2000-07-06,[[0.672896]]
2000-07-07,[[0.55025816]]
2000-07-10,[[0.5441028]]
2000-07-11,[[0.8338672]]
2000-07-12,[[0.8308201]]
2000-07-13,[[0.6868788]]
2000-07-14,[[0.74537015]]
2000-07-17,[[0.7659473]]
2000-07-18,[[0.53052014]]
2000-07-19,[[0.8102534]]
2000-07-20,[[0.78282964]]
2000-07-21,[[0.54073733]]
2000-07-24,[[0.7856386]]
2000-07-25,[[0.79928946]]
2000-07-26,[[0.76313716]]
2000-07-27,[[0.84200764]]
2000-07-28,[[0.7851964]]
2000-07-31,[[0.92555296]]
2000-08-01,[[0.92964154]]
2000-08-02,[[0.56061214]]
2000-08-03,[[0.5547934]]
2000-08-04,[[0.5386209]]
2000-08-07,[[0.72656345]]
2000-08-08,[[0.9350481]]
2000-08-09,[[0.8147929]]
2000-08-10,[[0.80355203]]
2000-08-11,[[0.5747967]]
2000-08-14,[[0.9339576]]
2000-08-15,[[0.9301089]]
2000-08-16,[[0.8607483]]
2000-08-17,[[0.67629725]]
2000-08-18,[[0.9306268]]
2000-08-21,[[0.7791749]]
2000-08-22,[[0.9264868]]
2000-08-23,[[0.9283409]]
2000-08-24,[[0.9280902]]
2000-08-25,[[0.92661685]]
2000-08-28,[[0.9258226]]
2000-08-29,[[0.8379291]]
2000-08-30,[[0.63748777]]
2000-08-31,[[0.7519309]]
2000-09-01,[[0.76929057]]
2000-09-05,[[0.7705028]]
2000-09-06,[[0.8232596]]
2000-09-07,[[0.8232088]]
2000-09-08,[[0.835307]]
2000-09-11,[[0.83371997]]
2000-09-12,[[0.7895627]]
2000-09-13,[[0.84807545]]
2000-09-14,[[0.81559944]]
2000-09-15,[[0.75512516]]
2000-09-18,[[0.77498317]]
2000-09-19,[[0.83789176]]
2000-09-20,[[0.80494595]]
2000-09-21,[[0.56291455]]
2000-09-22,[[0.5769191]]
2000-09-25,[[0.51980186]]
2000-09-26,[[0.52650654]]
2000-09-27,[[0.42015392]]
2000-09-28,[[0.5098108]]
2000-09-29,[[0.5669576]]
2000-10-02,[[0.57271695]]
2000-10-03,[[0.42140198]]
2000-10-04,[[0.2748049]]
2000-10-05,[[0.27336937]]
2000-10-06,[[0.26970398]]
2000-10-09,[[0.41464782]]
2000-10-10,[[0.3649072]]
2000-10-11,[[0.21272099]]
2000-10-12,[[0.0884023]]
2000-10-13,[[0.08623159]]
2000-10-16,[[0.1888217]]
2000-10-17,[[0.08437219]]
2000-10-18,[[0.36237407]]
2000-10-19,[[0.08178595]]
2000-10-20,[[0.08073682]]
2000-10-23,[[0.08089912]]
2000-10-24,[[0.0810129]]
2000-10-25,[[0.08080015]]
2000-10-26,[[0.0799107]]
2000-10-27,[[0.07907781]]
2000-10-30,[[0.07989562]]
2000-10-31,[[0.1819624]]
2000-11-01,[[0.33070952]]
2000-11-02,[[0.3716445]]
2000-11-03,[[0.25966048]]
2000-11-06,[[0.26317528]]
2000-11-07,[[0.37875992]]
2000-11-08,[[0.42477345]]
2000-11-09,[[0.47905165]]
2000-11-10,[[0.4736531]]
2000-11-13,[[0.36875695]]
2000-11-14,[[0.49894354]]
2000-11-15,[[0.52503926]]
2000-11-16,[[0.5952842]]
2000-11-17,[[0.5041758]]
2000-11-20,[[0.6289396]]
2000-11-21,[[0.587332]]
2000-11-22,[[0.5333427]]
2000-11-24,[[0.5599655]]
2000-11-27,[[0.6278056]]
2000-11-28,[[0.6161094]]
2000-11-29,[[0.7932759]]
2000-11-30,[[0.6036537]]
2000-12-01,[[0.788767]]
2000-12-04,[[0.5504972]]
2000-12-05,[[0.6766615]]
2000-12-06,[[0.8440626]]
2000-12-07,[[0.6802757]]
2000-12-08,[[0.7870655]]
2000-12-11,[[0.8593467]]
2000-12-12,[[0.8585056]]
2000-12-13,[[0.853479]]
2000-12-14,[[0.8563301]]
2000-12-15,[[0.83493924]]
2000-12-18,[[0.86345726]]
2000-12-19,[[0.8418313]]
2000-12-20,[[0.8547157]]
2000-12-21,[[0.85015637]]
2000-12-22,[[0.8427706]]
2000-12-26,[[0.8203508]]
2000-12-27,[[0.8518188]]
2000-12-28,[[0.8572117]]
2000-12-29,[[0.85431963]]
2001-01-02,[[0.81600165]]
2001-01-03,[[0.8298366]]
2001-01-04,[[0.8655591]]
2001-01-05,[[0.23700613]]
2001-01-08,[[0.47393754]]
2001-01-09,[[0.64303005]]
2001-01-10,[[0.5110534]]
2001-01-11,[[0.6475541]]
2001-01-12,[[0.6162423]]
2001-01-16,[[0.5850519]]
2001-01-17,[[0.6311435]]
2001-01-18,[[0.59341234]]
2001-01-19,[[0.5169535]]
2001-01-22,[[0.2798124]]
2001-01-23,[[0.10294628]]
2001-01-24,[[0.85638565]]
2001-01-25,[[0.85833323]]
2001-01-26,[[0.8633965]]
2001-01-29,[[0.6725383]]
2001-01-30,[[0.5153456]]
2001-01-31,[[0.5937329]]
2001-02-01,[[0.54696196]]
2001-02-02,[[0.47190312]]
2001-02-05,[[0.4350508]]
2001-02-06,[[0.10686865]]
2001-02-07,[[0.10386121]]
2001-02-08,[[0.10567573]]
2001-02-09,[[0.10622528]]
2001-02-12,[[0.10969055]]
2001-02-13,[[0.11165145]]
2001-02-14,[[0.4290293]]
2001-02-15,[[0.24594578]]
2001-02-16,[[0.11297211]]
2001-02-20,[[0.11599693]]
2001-02-21,[[0.1207819]]
2001-02-22,[[0.11967957]]
2001-02-23,[[0.11703575]]
2001-02-26,[[0.11437994]]
2001-02-27,[[0.27442735]]
2001-02-28,[[0.48368806]]
2001-03-01,[[0.3442154]]
2001-03-02,[[0.11964753]]
2001-03-05,[[0.57393336]]
2001-03-06,[[0.11964041]]
2001-03-07,[[0.11957625]]
2001-03-08,[[0.12078539]]
2001-03-09,[[0.12190485]]
2001-03-12,[[0.11650836]]
2001-03-13,[[0.11516559]]
2001-03-14,[[0.10809401]]
2001-03-15,[[0.11022785]]
2001-03-16,[[0.10770515]]
2001-03-19,[[0.10499549]]
2001-03-20,[[0.10419187]]
2001-03-21,[[0.10403514]]
2001-03-22,[[0.10367054]]
2001-03-23,[[0.09920469]]
2001-03-26,[[0.09795791]]
2001-03-27,[[0.09794611]]
2001-03-28,[[0.09867591]]
2001-03-29,[[0.09805274]]
2001-03-30,[[0.09860697]]
2001-04-02,[[0.09856209]]
2001-04-03,[[0.2655754]]
2001-04-04,[[0.10406131]]
2001-04-05,[[0.10103008]]
2001-04-06,[[0.10385659]]
2001-04-09,[[0.2812382]]
2001-04-10,[[0.4610535]]
2001-04-11,[[0.47124448]]
2001-04-12,[[0.32810086]]
2001-04-16,[[0.33757296]]
2001-04-17,[[0.47338364]]
2001-04-18,[[0.5953954]]
2001-04-19,[[0.6103789]]
2001-04-20,[[0.6260468]]
2001-04-23,[[0.560879]]
2001-04-24,[[0.6323702]]
2001-04-25,[[0.6426028]]
2001-04-26,[[0.42844346]]
2001-04-27,[[0.6715667]]
2001-04-30,[[0.6581109]]
2001-05-01,[[0.43572697]]
2001-05-02,[[0.60984087]]
2001-05-03,[[0.44625977]]
2001-05-04,[[0.1958532]]
2001-05-07,[[0.4363721]]
2001-05-08,[[0.40729016]]
2001-05-09,[[0.18621105]]
2001-05-10,[[0.18946591]]
2001-05-11,[[0.43351257]]
2001-05-14,[[0.19868973]]
2001-05-15,[[0.53031105]]
2001-05-16,[[0.424281]]
2001-05-17,[[0.376783]]
2001-05-18,[[0.42746302]]
2001-05-21,[[0.19749263]]
2001-05-22,[[0.4588089]]
2001-05-23,[[0.20294392]]
2001-05-24,[[0.6385629]]
2001-05-25,[[0.37793753]]
2001-05-29,[[0.6566513]]
2001-05-30,[[0.5878456]]
2001-05-31,[[0.18334901]]
2001-06-01,[[0.70010215]]
2001-06-04,[[0.18516183]]
2001-06-05,[[0.8223957]]
2001-06-06,[[0.7054709]]
2001-06-07,[[0.18447468]]
2001-06-08,[[0.18670216]]
2001-06-11,[[0.1845546]]
2001-06-12,[[0.81836236]]
2001-06-13,[[0.18287465]]
2001-06-14,[[0.18180126]]
2001-06-15,[[0.6635045]]
2001-06-18,[[0.6415316]]
2001-06-19,[[0.7373563]]
2001-06-20,[[0.64178634]]
2001-06-21,[[0.7972722]]
2001-06-22,[[0.8068578]]
2001-06-25,[[0.67546475]]
2001-06-26,[[0.6153301]]
2001-06-27,[[0.15089434]]
2001-06-28,[[0.15115726]]
2001-06-29,[[0.1543656]]
2001-07-02,[[0.15541807]]
2001-07-03,[[0.16124877]]
2001-07-05,[[0.16143522]]
2001-07-06,[[0.15493265]]
2001-07-09,[[0.3516255]]
2001-07-10,[[0.14998105]]
2001-07-11,[[0.14822564]]
2001-07-12,[[0.14695078]]
2001-07-13,[[0.13855985]]
2001-07-16,[[0.13846853]]
2001-07-17,[[0.13789424]]
2001-07-18,[[0.13825768]]
2001-07-19,[[0.13464463]]
2001-07-20,[[0.13374686]]
2001-07-23,[[0.12786028]]
2001-07-24,[[0.12522575]]
2001-07-25,[[0.3641836]]
2001-07-26,[[0.12379023]]
2001-07-27,[[0.12486023]]
2001-07-30,[[0.12514609]]
2001-07-31,[[0.32635683]]
2001-08-01,[[0.13105738]]
2001-08-02,[[0.13131115]]
2001-08-03,[[0.3044956]]
